G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc,Fault_Type,P_a,Q_a,PF_a,P_b,Q_b,PF_b,P_c,Q_c,PF_c
0,0,0,0,270.6344673984056,261.7289719698324,248.4211865765353,6.615093141671348,6.053325513258364,6.625149556251066,0,1746.8965052475655,674.6306968893591,0.2745396122301942,1783.8528939846146,710.7791635062753,0.2983377966408549,1747.9035984191676,645.2982931380618,0.2740018330469859
0,0,0,0,260.02261838706266,287.354290721994,290.4380363317507,6.205889254948528,6.104884251828151,6.137759575874166,0,1677.7025256072036,652.5719491233045,0.280914787293671,1593.030282170869,678.0691265208563,0.2865440752613573,1643.599192452803,697.3450662308304,0.2676595351692651
0,0,0,0,283.5708901775679,298.40270959545336,253.9964077988368,6.121248359811581,6.209457992292879,6.324748045180209,0,1524.2129029109406,720.971106156854,0.3127128836927987,1528.3826850559433,722.360661448151,0.2857991367070133,1486.3120987079535,740.7415172198644,0.2776071754712941
1,0,1,0,286.6232372273331,307.46358387540505,297.95006212863706,6.210616876943075,6.507447119691062,6.067406285448413,1,1676.1371247430031,667.7571528480659,0.2758992209113619,1808.2272488157887,751.7044533538876,0.2931817190083587,1539.2805691961637,622.4143344888313,0.2807250593295922
0,0,0,0,271.41936312356006,283.46675582126903,289.72742422208233,6.185068510132241,6.105790130161018,6.137153308961193,0,1779.1979569640469,642.622935339238,0.2804293954650932,1762.584598726155,637.408737589052,0.3113863086329042,1476.8500763648883,727.8886570897482,0.2985995998925941
0,0,0,0,290.3144779696357,301.4779205798867,265.1599074897765,6.5015087040452695,6.41128716968243,6.4730901975287605,0,1527.215571315091,642.8495123609117,0.2726465594899431,1605.9128862109833,635.877093412154,0.279753972656293,1684.022838343954,737.7141385429171,0.2876066025771706
0,0,0,0,256.4798725344945,280.7178964569636,249.01713851743835,6.464779685416411,6.347597155504205,6.414117780039495,0,1756.5094911225665,669.6845794888072,0.3035344358681908,1638.0394655415134,630.5628502822686,0.2702493187832866,1578.081699183739,685.8636533067122,0.3080028226367707
0,0,0,0,263.6807045623456,269.24789500645926,295.17966429944903,6.273074182623093,6.118644665643706,6.519957616820222,0,1754.7619548451023,625.6925055330793,0.2708129360817609,1804.969051979197,739.6228774477466,0.2948432958046878,1536.1951777020572,738.4462441352207,0.2907515173670815
0,0,0,0,294.6690774147088,276.96915249131064,270.2281259930359,6.580517871025572,6.5346051115540345,6.151955380309668,0,1608.6703322490891,609.9805570778544,0.2779304762471858,1782.042651049184,627.989695963955,0.28910297376063,1514.3302692070831,662.4533463416701,0.3096586529616348
1,0,1,0,267.7842267857924,307.06237060634595,249.3170607136228,6.341694087751115,6.17599876359212,6.397130119255799,1,1737.2221254682877,643.5327720486838,0.3130028585336266,1661.212000320778,668.944781933249,0.2785305351368655,1639.8114814274445,623.2703972386711,0.2785379201828185
